source_dataset,row_index,file,failure_mode,true_label,RotationSpeed,CWT_DominantScale,CWT_EnergyEntropy,CWT_MaxScaleEnergy,CWT_MinScaleEnergy,CWT_TotalEnergy,ClearanceFactor,CrestFactor,FFT_DominantFreq,FFT_FrequencyBandwidth,FFT_SpectralCentroid,FFT_SpectralFlatness,FFT_SpectralSpread,ImpulseFactor,MaxForceBelow3mm,Mean,MinPositionStage3,PeakValue,PlungeVelocity,RMS,ShapeFactor,StandardDeviation,model_predicted_class,model_probability_class1,loocv_held_out_prediction,loocv_held_out_correct
data_processed/WSU_TM_Ans_Dat_full_3.csv,0,l036.fsj,NP,0,1400.0,32.0,0.3030309523917142,11442.642570394532,2.0093169230444667,12299.003779797204,1.423746622239299,1.4078628349101576,0.2058805311727759,0.2058805311727759,4.457299062028671,0.0116296207447094,17.960843586054835,1.41809595688217,14.513,13.434210786331825,2.12,19.051,0.6684491978609628,13.531858024518227,1.0072685504001286,1.623036241904658,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,1,l037.fsj,NP,0,1400.0,32.0,0.3226183142007958,11506.93823207604,2.144978628967323,12453.447673396762,1.4282370628083,1.410998258785769,0.2409050263554217,0.2409050263554217,4.646936294384643,0.0101718871751448,19.74532575189229,1.422164278941343,14.541,13.352887764932564,2.17,18.99,0.9328358208955224,13.458556650765676,1.0079135605490988,1.683597584183794,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,2,l041.fsj,IF,1,1800.0,32.0,0.3074887415785159,11196.432054467632,2.0256498361505777,12050.262310544897,1.4369469663609662,1.419432159721668,0.4934629118336625,0.2467314559168312,5.692215444175839,0.0125526015339743,22.269149512135183,1.430767708760904,14.509,13.349476566354218,2.19,19.1,1.1520737327188937,13.45608514586936,1.0079859745050856,1.6908912951407244,1,1.0,0,False
data_processed/WSU_TM_Ans_Dat_full_3.csv,3,l042.fsj,IF,1,1800.0,32.0,0.3232379791478125,11356.614351531807,2.10549276239378,12295.389782054,1.4265822869021865,1.409441276764369,0.2470973453719723,0.2470973453719723,5.023382876112891,0.0111184757125377,21.12403475608193,1.4205386368225257,14.52,13.36535276679842,2.21,18.986,1.173708920187793,13.470586049236369,1.0078735880955842,1.68090151177896,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,4,l043.fsj,IF,1,1400.0,32.0,0.7257893562683204,6435.927308007049,4.751385094373369,8465.645986183825,1.1409555103293767,1.12544827327593,0.7472016886210763,0.3736008443105382,2.599866224222453,0.0014405132116378,12.718775993381062,1.1355632116290788,14.507,12.832398805078416,2.34,14.572,1.1627906976744182,12.947729670048846,1.0089874751184311,1.724954107194398,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,5,l044.fsj,IF,1,1400.0,32.0,0.3295341196187473,11133.595808984204,2.122545926150493,12079.157336365102,1.421222418392584,1.4042583340464556,0.4949286432549503,0.2474643216274751,4.915649373662273,0.0107939086031981,20.91844372715293,1.4152494656170167,14.519,13.382093023255814,2.22,18.939,1.1737089201877942,13.48683468050079,1.007827001132256,1.6780015589791475,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,6,l045.fsj,IF,1,1400.0,32.0,1.3017605209752894,38959.333106467,258.03620997363123,105253.50567718354,2.2574896783416687,2.203664004746367,0.7324218750000001,0.3662109375000001,134.92152415051245,0.2270038445234656,154.42264826323367,2.2401342620258524,29.511,13.686900439238654,2.31,31.043,1.1627906976744182,14.086993268092575,1.0165498266527628,3.334707852332804,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,7,l046.fsj,IF,1,1400.0,32.0,0.7487933611336746,7022.648614017884,5.410872663484062,9415.532988160048,1.160171725422046,1.1451644626833906,1.4818515702198614,0.987901046813241,6.445162023528369,0.0040930937339974,33.43630747004367,1.1550392665385678,14.701,12.727705824284303,2.53,14.701,1.2886597938144333,12.837457395029608,1.0086230442674042,1.6758846517419703,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,8,l047.fsj,IF,1,1400.0,32.0,0.3181262737964681,11246.491112604646,2.0778631539333645,12151.766455555937,1.4494160763766009,1.4299575359615952,0.5929750055604982,0.2964875027802491,6.869886099970519,0.0124189790153649,26.668497054102296,1.442605516791854,14.649,13.326581505631298,2.41,19.225,1.2315270935960587,13.44445517892381,1.0088450044929154,1.7769277084300148,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,9,l049.fsj,NP,0,1800.0,32.0,0.744856738057471,21326.017603404485,16.74996799875928,28415.13256496945,1.000217531972836,1.000217528277179,36.073665028994846,29.56413148992811,65.86322438803116,0.1099341629309998,89.48776359270563,1.0002175307409478,-23.464,-23.46889479392625,1.77,23.474,0.6281407035175884,23.46889485173561,1.0000000024632332,0.0016477001880687,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,10,l050.fsj,NP,0,1800.0,32.0,0.3023979631810051,10902.348922038324,1.8336857552351185,11722.588207512732,1.44444545648763,1.4253318446299668,0.1253140961863875,0.1253140961863875,1.313303546101364,0.0049684719320768,7.520518483713765,1.4376534749667336,14.311,13.193721804511275,1.74,18.968,0.6410256410256415,13.307778165108154,1.008644744999692,1.73879912205655,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,11,l051.fsj,NP,0,1800.0,32.0,0.3062719778427535,10977.434778263818,1.866851043552004,11819.205378407723,1.4415843394548258,1.4217142212436058,0.1253140961863875,0.1253140961863875,1.211616652333951,0.0045661174072006,7.222113201259733,1.434513560715724,14.284,13.159861654135335,1.83,18.878,0.6443298969072166,13.278336614996356,1.0090027512427373,1.7700422962933984,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,12,l052.fsj,NP,0,1400.0,32.0,0.7546567979699355,6829.43293501546,5.401661093876883,9185.506887020743,1.2301695575145415,1.214957934439736,0.1789752702067669,0.0,1.1370427289770488,0.0019164119962251,8.259586368344564,1.2248856617136468,15.182,13.210212598425198,2.12,16.181,0.5995203836930458,13.318156572607332,1.0081712518536607,1.69251377139164,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,13,l055.fsj,IF,1,1600.0,32.0,0.7448820792069665,21208.942868042872,16.658711008324538,28260.49618056855,1.000201888057308,1.0002018852863197,63.94834776182433,165.72529560810813,253.6991456534565,0.1336751655695852,336.6561664275777,1.0002018871336418,-23.398,-23.40327517985611,2.36,23.408,1.0683760683760684,23.40327522308077,1.0000000018469493,0.0014236721216403,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,14,l056.fsj,IF,1,1600.0,32.0,0.7454302487024611,6468.877213460338,5.099799422701171,8624.637453010377,1.1378559244924902,1.1247506119578508,0.7884509931979494,0.3942254965989747,2.822814014192254,0.0014629361434293,13.79350729520816,1.1333217855181836,14.964,13.252193853427896,2.42,15.019,1.1013215859030845,13.353182332442978,1.0076205102439668,1.6398034732386289,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,15,l057.fsj,IF,1,1600.0,32.0,0.3766757711277073,12360.739592266302,2.6218119991712188,13652.336659297607,1.4252117144370702,1.4095991310564282,0.5166696947674418,0.2583348473837209,4.005493430046241,0.0066115159177689,17.673967054385358,1.419746962270267,14.594,13.461553719008265,2.4,19.112,1.1520737327188937,13.558464657733191,1.0071990901457448,1.6186069916737682,1,1.0,1,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,16,l058.fsj,NP,0,1600.0,16.0,0.9781803582697244,10945.222578298448,14.741402509642274,22582.77944829293,2.002357552444864,1.9614190371626736,0.1649217847863741,0.0,4.898970388143697,0.0099809188971172,19.20260944831232,1.9885159487280564,17.316,13.00065006596306,2.03,25.852,0.6281407035175878,13.180253433961097,1.013814952874415,2.1688083843188597,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,17,l059.fsj,NP,0,1600.0,32.0,0.7497113408830554,21475.507769653806,16.985658895684665,28736.95120441447,1.099566901604751,1.099531026715092,0.8354505788649027,53.19035352106548,62.7192380915897,0.1230208699680213,85.6347170031861,1.0995553202402768,-23.397,-23.41128229398664,1.95,25.742,0.6410256410256409,23.41179955322008,1.0000220944426257,0.1556700493892505,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,18,l060.fsj,NP,0,1600.0,32.0,0.7448333662627423,21212.017755479443,16.662351452658193,28262.30332541494,1.000208942801846,1.0002089388175046,24.548781220487044,33.18131967164732,62.759101829845264,0.1122904395041666,88.08167294667354,1.000208941473735,-23.401,-23.406109492988136,1.86,23.411,0.6265664160401002,23.406109555147165,1.0000000026556757,0.0017062743999129,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,19,l061.fsj,NP,0,1800.0,32.0,0.3152521485464422,11510.183738736365,2.049506071232809,12428.724542143253,1.4480731198509231,1.4286499222407534,0.5126953125,0.25634765625,4.960873127233626,0.0101181191604392,20.88868826836645,1.4412306522830045,14.34,13.072855458739108,2.16,18.841,1.2886597938144333,13.187975379195066,1.0088060271774062,1.7391650547935518,0,0.0,0,True
data_processed/WSU_TM_Ans_Dat_full_3.csv,20,l063.fsj,NP,0,1800.0,32.0,0.3186843761902963,11631.683346606564,2.0935870497351847,12575.00003511564,1.4422748659022302,1.422148884933098,0.5508296745867768,0.2754148372933884,5.199007503901312,0.0098392264663178,22.212769233413308,1.4352074123147955,14.416,13.118661343612336,2.18,18.828,1.5723270440251569,13.23912017895772,1.0091822505505896,1.782351534079006,0,0.0,0,True
